CategoryName,Quantity,Total_Sale,Total_Cost,Total_profit,Unit_Cost,Unit_Price,Margin
"Women wear",6697,567993.78,452684.75,115309.03,67.46,84,20.3
Sportwear,12289,255841.22,203439.36,52401.86,16.71,20.84,20.48
"Men Footwear",3431,205027.8,160878.56,44149.24,51.16,63.86,21.53
"Ladies Footwear",3984,129930.77,103827.68,26103.09,27.23,33.95,20.09
"Men Clothes",5885,111916.22,88189.1,23727.12,15.5,19.45,21.2
Babywear,5971,104950.97,83116.87,21834.1,14.07,17.67,20.8
"Children wear",1983,74067.78,60395.05,13672.73,31.09,38.08,18.46
"Bath Clothes",4242,42493.46,34211.56,8281.9,8.38,10.32,19.49
